"","species","long_degrees","lat_degrees","presence"
"2097","mat",163.337423798996,-77.5981906712653,0
"2098","mat",163.101204840749,-77.6474249608242,0
"2099","mat",163.346979051876,-77.6023713291964,0
"2100","mat",163.245983750466,-77.5895749243075,0
"2101","mat",163.182426309823,-77.5963566104098,0
"2102","mat",163.339615587558,-77.626411149508,0
"2103","mat",163.037338161193,-77.6352023261413,0
"2104","mat",163.252031140464,-77.6160655039179,0
"2105","mat",163.236536352704,-77.5959767373917,0
"2106","mat",163.091125109969,-77.6066593825382,0
"2107","mat",163.166394955286,-77.6181218344239,0
"2108","mat",163.15743933577,-77.6393669269431,0
"2109","mat",163.173320957121,-77.5963610223553,0
"2110","mat",163.219140945701,-77.6144674691113,0
"2111","mat",163.257911326422,-77.6259959685404,0
"2112","mat",163.141552628954,-77.5903120584504,0
"2113","mat",163.04372219323,-77.6060762776973,0
"2114","mat",163.177136083746,-77.6493099565838,0
"2115","mat",163.170119489088,-77.6266306488746,0
"2116","mat",163.085548851266,-77.6419675320903,0
"2117","mat",163.175803018023,-77.6281435018714,0
"2118","mat",163.121727068391,-77.6487041551167,0
"2119","mat",163.209141872872,-77.6171672331805,0
"2120","mat",163.074209692953,-77.6105695210384,0
"2121","mat",163.252366861719,-77.6292357861187,0
"2122","mat",163.252070407645,-77.6328008746591,0
"2123","mat",163.303515143971,-77.6193883072207,0
"2124","mat",163.058300686001,-77.6052864456352,0
"2125","mat",163.016880093318,-77.6383535326369,0
"2126","mat",163.00694116281,-77.6080311873327,0
"2127","mat",163.22463430446,-77.5956461576761,0
"2128","mat",163.052272517995,-77.6032485360894,0
"2129","mat",163.323179201392,-77.6328502317829,0
"2130","mat",163.224627967225,-77.6340082824657,0
"2131","mat",163.120431698159,-77.5922164593831,0
"2132","mat",163.04400582428,-77.6134117652848,0
"2133","mat",163.344974686812,-77.5912354587628,0
"2134","mat",163.203939793114,-77.6376638460016,0
"2135","mat",163.134000974844,-77.5948854110868,0
"2136","mat",163.103763626499,-77.64867237665,0
"2137","mat",163.312625341191,-77.6223843829938,0
"2138","mat",163.213381376483,-77.59192318779,0
"2139","mat",163.067387027658,-77.6394886465672,0
"2140","mat",163.098854076222,-77.6373726366297,0
"2141","mat",163.200362886592,-77.5832464019509,0
"2142","mat",163.342082266292,-77.6022207762999,0
"2143","mat",163.220572437156,-77.6258508972539,0
"2144","mat",163.33487985625,-77.6263295110957,0
"2145","mat",163.289273985796,-77.5996804617257,0
"2146","mat",163.340827057959,-77.6179148622138,0
"2147","mat",163.307227339281,-77.5955769583665,0
"2148","mat",163.207224080033,-77.5853472774972,0
"2149","mat",163.265073862332,-77.6016455817497,0
"2150","mat",163.130182595007,-77.5976263581535,0
"2151","mat",163.027586798306,-77.6415974899893,0
"2152","mat",163.141971284473,-77.6003023218886,0
"2153","mat",163.307661397274,-77.6185299400521,0
"2154","mat",163.063206078257,-77.6363606633716,0
"2155","mat",163.092545401611,-77.6230040259533,0
"2156","mat",163.307275458563,-77.6210823521337,0
"2157","mat",163.150059878284,-77.6496346872343,0
"2158","mat",163.084374050525,-77.6095161590732,0
"2159","mat",163.216511639361,-77.6310398455482,0
"2160","mat",163.209807494781,-77.6494469992358,0
"2161","mat",163.316695785134,-77.6332309335505,0
"2162","mat",163.249223951046,-77.5960236933872,0
"2163","mat",163.260265143304,-77.5926187587483,0
"2164","mat",163.031524288057,-77.6398708073961,0
"2165","mat",163.135215389464,-77.6498014672326,0
"2166","mat",163.134686510815,-77.6475676839241,0
"2167","mat",163.158990340063,-77.5943610345905,0
"2168","mat",163.043869290011,-77.6509685915189,0
"2169","mat",163.14443689117,-77.62740324143,0
"2170","mat",163.308098280066,-77.589877690761,0
"2171","mat",163.226788044301,-77.6277446576636,0
"2172","mat",163.110672600147,-77.6381983098185,0
"2173","mat",163.169264629251,-77.6542000140421,0
"2174","mat",163.305524048027,-77.6214750619783,0
"2175","mat",163.287897056704,-77.606884393035,0
"2176","mat",163.151543607336,-77.6444577253239,0
"2177","mat",163.310137523717,-77.6204047900252,0
"2178","mat",163.212044998314,-77.6388159338987,0
"2179","mat",163.049638925076,-77.6048308102079,0
"2180","mat",163.025274397049,-77.6412568076308,0
"2181","mat",163.218495404263,-77.6246023975668,0
"2182","mat",163.264578722051,-77.6177545985632,0
"2183","mat",163.28760343847,-77.6373875044658,0
"2184","mat",163.223459939627,-77.5852398787756,0
"2185","mat",163.092166098961,-77.6242632608166,0
"2186","mat",163.127524981112,-77.5933750549715,0
"2187","mat",163.288703732478,-77.6242801946848,0
"2188","mat",163.205539307471,-77.599993713279,0
"2189","mat",163.300686919721,-77.5936516621712,0
"2190","mat",163.300553494491,-77.5907872934051,0
"2191","mat",163.349203067884,-77.6018711770233,0
"2192","mat",163.332773526237,-77.6295192973114,0
"2193","mat",163.297094597611,-77.6345125777631,0
"2194","mat",163.129872728095,-77.6285818406494,0
"2195","mat",163.185243809782,-77.6452571291576,0
"2196","mat",163.094208939633,-77.6327446890097,0
"2197","mat",163.250334812127,-77.6284764442923,0
"2198","mat",163.174812644925,-77.6523944482765,0
"2199","mat",163.297408518088,-77.6154692736702,0
"2200","mat",163.202078855891,-77.5944189372875,0
"2201","mat",163.155281198902,-77.623025375088,0
"2202","mat",163.122666140324,-77.6245588563241,0
"2203","mat",163.244863667979,-77.6308422996459,0
"2204","mat",163.258984673367,-77.6415736499035,0
"2205","mat",163.347891823081,-77.6215138112824,0
"2206","mat",163.239462722136,-77.5943213442159,0
"2207","mat",163.303854361413,-77.6148096548042,0
"2208","mat",163.023863283632,-77.6319691454487,0
"2209","mat",163.161868307683,-77.6184905089766,0
"2210","mat",163.325932961782,-77.6203285490539,0
"2211","mat",163.082617337294,-77.6495953146276,0
"2212","mat",163.033443332881,-77.6077224675718,0
"2213","mat",163.131445356813,-77.5972018755409,0
"2214","mat",163.333581014549,-77.6125696579218,0
"2215","mat",163.034291374459,-77.6397904854994,0
"2216","mat",163.146366938893,-77.6253338539105,0
"2217","mat",163.123584647354,-77.6366432732046,0
"2218","mat",163.191352691202,-77.6288098406501,0
"2219","mat",163.206235373208,-77.629303557082,0
"2220","mat",163.129900012731,-77.6361281306208,0
"2221","mat",163.153894562643,-77.6504919822092,0
"2222","mat",163.011830614101,-77.6424946829767,0
"2223","mat",163.147687762307,-77.5934306280579,0
"2224","mat",163.294430282484,-77.6308216634958,0
"2225","mat",163.319004811333,-77.593144336271,0
"2226","mat",163.078767753158,-77.6067784041559,0
