"","SD","species","long_degrees","lat_degrees","presence"
"520",693,"mat",163.2864231,-77.62747039,1
"521",650,"mat",163.2716445,-77.63767182,1
"522",252,"mat",163.1804068,-77.6354955,1
"523",36,"mat",163.2820812,-77.61847656,1
"524",794,"mat",163.0896852,-77.59943327,1
"525",603,"mat",163.1997852,-77.65221627,1
"526",501,"mat",163.3172444,-77.5887505,1
"527",101,"mat",163.1271974,-77.64054135,1
"528",730,"mat",163.1997216,-77.65155273,1
"529",99,"mat",163.2094239,-77.62855577,1
"530",887,"mat",163.1700639,-77.59455828,1
"531",258,"mat",163.0417757,-77.61597062,1
"532",443,"mat",163.2049658,-77.65173932,1
"533",652,"mat",163.206103,-77.64149749,1
"534",59,"mat",163.2852933,-77.62758052,1
"535",574,"mat",163.2543335,-77.58855833,1
"536",685,"mat",163.2071544,-77.62699359,1
"537",215,"mat",163.1463157,-77.6461916,1
"538",558,"mat",163.1218249,-77.60237736,1
"539",186,"mat",163.0093163,-77.63153415,1
"540",118,"mat",163.1275849,-77.65573737,1
"541",803,"mat",163.0395755,-77.61496586,1
"542",842,"mat",163.2037301,-77.64737752,1
"543",171,"mat",163.3188577,-77.58863787,1
"544",288,"mat",163.2882134,-77.62585476,1
"545",311,"mat",163.3323486,-77.60555283,1
"546",564,"mat",163.2280194,-77.63699776,1
"547",363,"mat",163.1557465,-77.58913422,1
"548",604,"mat",163.2686113,-77.6141372,1
"549",759,"mat",163.0385238,-77.61406153,1
"550",987,"mat",163.210632,-77.62924918,1
"551",464,"mat",163.1864213,-77.62320632,1
"552",815,"mat",163.2629567,-77.61458269,1
"553",74,"mat",163.1088887,-77.63093869,1
"554",609,"mat",163.226387,-77.64032421,1
"555",92,"mat",163.2099815,-77.64448503,1
"556",896,"mat",163.1009048,-77.65144389,1
"557",133,"mat",163.2353444,-77.59874227,1
"558",503,"mat",163.2025529,-77.65042229,1
"559",318,"mat",163.0380181,-77.61385384,1
"560",14,"mat",163.2936294,-77.61988953,1
"561",168,"mat",163.1467667,-77.64755227,1
"562",889,"mat",163.2335912,-77.61237612,1
"563",166,"mat",163.0276779,-77.61284489,1
"564",199,"mat",163.2520078,-77.59622055,1
"565",179,"mat",163.1500389,-77.59069561,1
"566",866,"mat",163.1949473,-77.65286631,1
"567",623,"mat",163.3353699,-77.59875977,1
"568",922,"mat",163.2109264,-77.63061045,1
"569",299,"mat",163.0294109,-77.63002683,1
"570",662,"mat",163.1226505,-77.60251371,1
"571",80,"mat",163.2639885,-77.63617001,1
"572",26,"mat",163.2574421,-77.61317567,1
"573",460,"mat",163.2035922,-77.62554192,1
"574",966,"mat",163.0498774,-77.60573823,1
"575",934,"mat",163.3310512,-77.61789282,1
"576",762,"mat",163.0618883,-77.61694121,1
"577",567,"mat",163.1991923,-77.65284775,1
"578",396,"mat",163.2633719,-77.6268093,1
"579",814,"mat",163.3282606,-77.60382579,1
