layer,longitude,lattitude,presence
TRUE,163.0488891,-77.62578826,1
TRUE,163.2884991,-77.62582316,1
TRUE,163.2034131,-77.62585806,1
TRUE,163.2871951,-77.62585806,1
TRUE,163.2834461,-77.62589296,1
TRUE,163.2862171,-77.62599766,1
TRUE,163.2880101,-77.62599766,1
TRUE,163.2039021,-77.62603256,1
TRUE,163.2847501,-77.62603256,1
TRUE,163.2865431,-77.62617216,1
TRUE,163.2040651,-77.62624196,1
TRUE,163.2875211,-77.62641646,1
TRUE,163.2863801,-77.62645136,1
TRUE,163.2045541,-77.62652116,1
TRUE,163.2637231,-77.62655606,1
TRUE,163.2881731,-77.62659096,1
TRUE,163.2852391,-77.62662586,1
TRUE,163.2870321,-77.62662586,1
TRUE,163.2052061,-77.62669566,1
TRUE,163.2645381,-77.62673056,1
TRUE,163.2862171,-77.62673056,1
TRUE,163.2063471,-77.62676546,1
TRUE,163.2700801,-77.62676546,1
TRUE,163.2635601,-77.62680036,1
TRUE,163.2883361,-77.62680036,1
TRUE,163.2871951,-77.62687016,1
TRUE,163.2055321,-77.62690506,1
TRUE,163.2850761,-77.62693996,1
TRUE,163.2073251,-77.62700976,1
TRUE,163.2632341,-77.62700976,1
TRUE,163.2818161,-77.62700976,1
TRUE,163.2860541,-77.62700976,1
TRUE,163.2705691,-77.62704466,1
TRUE,163.2876841,-77.62707956,1
TRUE,163.2063471,-77.62714936,1
TRUE,163.2855651,-77.62718426,1
TRUE,163.2635601,-77.62721916,1
TRUE,163.2867061,-77.62725406,1
TRUE,163.2813271,-77.62728896,1
TRUE,163.2857281,-77.62739366,1
TRUE,163.2876841,-77.62739366,1
TRUE,163.2803491,-77.62742856,1
TRUE,163.2868691,-77.62746346,1
TRUE,163.2849131,-77.62753326,1
TRUE,163.2087921,-77.62760306,1
TRUE,163.2857281,-77.62770776,1
TRUE,163.2875211,-77.62770776,1
TRUE,163.2091181,-77.62781246,1
TRUE,163.0244391,-77.62784736,1
TRUE,163.2863801,-77.62784736,1
TRUE,163.2099331,-77.62791716,1
TRUE,163.0426951,-77.62802186,1
TRUE,163.2091181,-77.62812656,1
TRUE,163.2616041,-77.62819636,1
TRUE,163.2097701,-77.62826616,1
TRUE,163.2089551,-77.62833596,1
TRUE,163.2668201,-77.62847556,1
TRUE,163.2094441,-77.62854536,1
TRUE,163.2104221,-77.62854536,1
TRUE,163.0374791,-77.62875476,1
TRUE,163.2099331,-77.62892926,1
TRUE,163.0366641,-77.62906886,1
TRUE,163.2097701,-77.62917356,1
TRUE,163.2105851,-77.62924336,1
TRUE,163.2099331,-77.62945276,1
TRUE,163.2104221,-77.62969706,1
TRUE,163.2594851,-77.62976686,1
TRUE,163.2110741,-77.62983666,1
TRUE,163.2578551,-77.62987156,1
TRUE,163.0303071,-77.62990646,1
